"","V1","V2","V3","V4"
"68",110161.247530289,113207.702578179,103897.454076407,109947.650420692
"69",110560.645623003,92488.6390143245,102089.96603683,92957.8163331593
"70",102257.693811685,96525.4838749342,95426.1813198993,118793.865652396
"71",137805.437847602,115348.670326685,105976.980409399,96816.6563520281
"72",106219.171949279,101425.221076423,103636.254094524,115983.263406536
"73",102617.835427121,110897.266731317,81018.1217441387,104558.605863565
"74",96267.8173421993,104535.888181097,111788.369733183,113543.364278241
"75",125195.341016994,91074.3713416177,88477.707548401,104641.047033149
"76",107669.330872222,110584.185301453,98328.4398212776,108580.411442566
"77",114486.556976698,97339.3615513453,114184.010274466,104329.025382607
"78",107280.585175109,89967.2847253004,90048.8279850022,102830.605865389
"79",107328.91414627,81295.2053581591,69694.8361771531,109492.603935652
"80",128407.966282746,100741.785105702,97902.4920696226,109528.066467926
"81",102591.050794154,97119.8572956386,100628.469309678,98753.7964252949
"82",90177.0307202422,107106.623148419,79676.4340330519,97398.7620877437
"83",93309.0455483436,95734.4460822887,91233.9785188928,104528.856132261
"84",123248.383982692,104707.746553413,108353.226229116,107309.231316777
"85",95615.4943875583,135887.292854673,102081.457477151,94104.9483491231
"86",98771.476926418,100964.939738133,106089.973155156,90048.266276417
"87",123340.935465251,94991.1225785475,65351.1634906575,110115.898211585
"88",98068.3609941733,108108.273292513,116694.091588036,113604.685695592
"89",134347.115735659,114754.249582582,106796.658182864,105459.803670754
"90",97888.0833143889,107506.555325405,91444.4950682749,102209.065989101
"91",92679.8929734773,122026.67121459,87756.5998091559,99807.5938082602
"92",110673.162105028,109612.204195163,99409.1172209433,89971.3856926608
"93",97605.4915956312,97355.2380169189,82104.0042045026,89893.2291637024
"94",107418.998438469,120464.03709658,89452.1047228038,98275.6520777112
"95",97522.5451076146,112718.445188734,108428.461788952,100543.280450927
"96",86308.3823429219,88264.5851898042,96456.7962055121,99437.4492789724
"97",124482.200829269,93672.972994735,90068.6150664681,102951.036360954
"98",109229.551941801,137572.406066946,93876.3638614376,92795.2875859383
"99",108918.29572345,121592.008561456,115264.601454906,110477.828719137
"100",107755.234454091,95912.0325976329,98879.6591335069,112654.742861442
"101",108576.424424442,97763.8918057168,92658.4341064081,94566.0335952763
"102",95646.5060983459,105285.291370826,110519.217649787,89771.8565099754
"103",110439.125559967,100809.202638208,92812.1895791352,89975.8454378983
"104",99198.5568450834,119372.560075363,115206.923928828,84855.9086240698
"105",83774.5675607539,121354.184634887,99499.2216067669,90082.6803670717
"106",106769.456874407,87987.7513891988,84341.6934205634,110501.928239255
"107",115701.346346519,105318.305653055,100436.233314295,125557.319048344
"108",101758.863282918,103050.421557495,95281.7691572409,77929.0028917193
"109",111832.878424324,114668.014873789,110825.132309132,112882.225362089
"110",100080.485527413,117064.755192,81809.2395275816,123154.704225375
"111",103185.417024253,91573.0368025347,105614.056895958,106936.11966336
"112",87249.3448933144,128364.878602989,99102.8831671559,93159.2738087999
"113",121306.228012027,93050.4754638743,119166.652116826,104751.096857353
"114",118593.885147755,113664.491748855,102575.7156166,121809.037095097
"115",94467.6441458448,88806.317282479,107581.763328773,96547.5792676611
"116",119510.018983041,98281.584374466,110378.384950295,108365.332830165
"117",106038.360446631,97486.8161508566,117630.568262256,102420.457550205
"118",137389.505237796,101683.110157389,105620.273029313,96186.8286768927
"119",123930.556962393,112004.405254889,85991.9868567307,94991.5571212395
"120",117552.342257029,100275.983518768,112297.222525947,114193.59579897
"121",109577.263227163,98465.1693537631,94002.0987172081,102411.498319832
"122",108958.677766597,117254.469663487,86543.6362877316,111222.985262911
"123",100858.667017278,92675.1634309623,114328.970785369,123583.055615452
"124",113252.504896646,83407.2115514321,112551.868433995,112337.024883278
"125",106590.763018736,103279.679451946,103969.917754433,92139.9260799929
"126",98984.6726206697,85935.530559032,102714.412071165,111680.396691899
"127",102816.631633507,89467.0987363618,92357.3108213241,112958.868731735
"128",93431.7500378564,92844.7356345169,106947.470966986,94335.1852752371
"129",115817.871587053,114622.929179275,95139.5130629604,127740.377406008
"130",103069.81560825,98621.0457263276,92079.9303217063,102596.975746583
"131",97948.8098404591,101551.453791899,103251.776732999,112959.873461141
"132",143769.72882781,105485.088309941,121344.088897133,107252.750855415
"133",125768.852227776,103822.813754998,99408.0643588895,99817.6887398641
"134",86115.3042647171,99628.6541129284,97835.0376669109,108987.423567914
"135",117150.9295432,104529.821848185,102955.130779354,101492.845308465
"136",121888.944736869,121217.056890559,105930.861720037,101325.096707624
"137",116050.019043435,100063.31762361,120559.823587873,94883.3604944101
"138",95668.5069037773,106082.860097959,111765.673722779,109092.13324388
"139",101713.909531916,96744.0517111569,99326.7487978341,111710.87302629
"140",117863.854187858,96946.6251083609,102708.713729736,102445.939707606
"141",112481.448427793,114989.737554838,103117.25362206,100688.927844241
"142",94420.9361884466,119406.116079687,108187.403584588,105267.063651205
"143",85747.3490495772,110874.858578735,106356.215369576,113385.69712584
"144",104228.107390736,122822.299372178,96457.8497489763,134150.017782978
"145",100257.347492241,89145.0667663011,87036.8727191318,87866.4907706792
"146",108637.575293206,113591.245601533,103255.512269417,106834.852737592
"147",102049.63184904,111894.859486677,90885.7850491522,103950.728221833
"148",103299.310466081,109399.657103798,110277.410584544,79753.0981413386
"149",100636.495556342,100249.788888677,116033.547747802,115194.481359635
"150",119044.063557594,113188.263608599,90039.6960902772,117939.734031356
"151",112125.449841795,83927.0291394666,113394.465927747,93769.7993397712
"152",106365.879758876,119930.791427615,116821.668954081,103549.71289756
"153",119832.206119461,105278.416449575,109880.424044145,106519.465805099
"154",115661.888288984,91432.4812745186,96165.6457932355,106846.59428416
"155",112393.681863699,95023.9392135024,104748.352812153,112202.055194156
"156",120028.741200326,104734.31618947,111755.729213512,96817.9534819881
